Mach#             Last Failure       Mach Cat           Fail Type     MLE(hours)         RUL(%)    State Prob.
15343      2018-11-26 12:05:00      Generator                Pump      79.970000       0.000000       0.071600
16443      2018-11-26 12:05:00        Blocker                Pump      85.550000       0.000000       0.066900
15123      2018-11-26 12:23:00          Laser                Pump     105.250000       0.000000       0.054300
17133      2018-11-28 07:47:00    AR_Robotics              Sensor     126.800000       0.000000       0.038400
17133      2018-11-30 01:25:00    AR_Robotics             Suction     119.900000       0.000000       0.033800
15148      2018-11-28 01:24:00       Polisher             Suction     150.000000       0.000000       0.033300
16443      2018-11-30 01:24:00        Blocker             Suction     123.320000       0.000000       0.032900
15343      2018-11-30 01:24:00      Generator             Suction     123.970000       0.000000       0.032700
16443      2018-12-01 21:30:00        Blocker   Missing/Lost Lens      99.950000       0.000000       0.031900
16443      2018-11-30 07:47:00        Blocker              Sensor     125.030000       0.000000       0.031400
15343      2018-11-30 07:47:00      Generator              Sensor     126.800000       0.000000       0.031000
15148      2018-11-30 12:05:00       Polisher                Pump     129.830000       0.000000       0.029600
15343      2018-12-02 21:30:00      Generator   Missing/Lost Lens      96.250000       0.000000       0.028300
15123      2018-11-30 01:24:00          Laser             Suction     149.280000       0.000000       0.027200
15123      2018-11-28 07:47:00          Laser              Sensor     179.820000       0.000000       0.027100
15123      2018-12-01 21:30:00          Laser   Missing/Lost Lens     124.930000       0.000000       0.025500
15148      2018-12-01 21:30:00       Polisher   Missing/Lost Lens     136.180000       0.000000       0.023400
15343      2018-12-01 10:03:00      Generator             Gripper     155.580000       0.000000       0.021900
17133      2018-12-03 12:37:00    AR_Robotics            Freezing     113.020000       0.000000       0.021400
15343      2018-12-03 12:37:00      Generator            Freezing     114.270000       0.000000       0.021200
16443      2018-12-03 12:37:00        Blocker            Freezing     115.950000       0.000000       0.020900
16443      2018-12-04 11:10:00        Blocker        Cal./Diamond     102.780000       1.610000       0.019300
15343      2018-12-04 11:10:00      Generator        Cal./Diamond     108.800000       7.060000       0.018200
17133      2018-12-04 21:30:00    AR_Robotics   Missing/Lost Lens     102.930000      11.790000       0.017300
16443      2018-12-03 13:39:00        Blocker                Axis     141.920000      13.580000       0.016900
15148      2018-12-03 12:37:00       Polisher            Freezing     148.030000      16.450000       0.016400
15148      2018-12-03 18:52:00       Polisher       Dropping Lens     149.320000      21.360000       0.015400
16443      2018-12-04 14:09:00        Blocker                Leak     126.270000      22.280000       0.015200
15343      2018-12-03 13:33:00      Generator                Axis     160.900000      23.720000       0.014900
15123      2018-12-03 12:33:00          Laser            Freezing     166.450000      25.660000       0.014600
15148      2018-12-04 11:10:00       Polisher        Cal./Diamond     136.430000      25.880000       0.014500
15343      2018-12-04 14:13:00      Generator                Leak     132.780000      26.140000       0.014500
17133      2018-12-04 10:03:00    AR_Robotics             Gripper     149.520000      31.620000       0.013400
16443      2018-12-04 10:03:00        Blocker             Gripper     151.550000      32.540000       0.013200
15123      2018-12-04 14:12:00          Laser                Leak     198.100000      50.480000       0.009700
15123      2018-12-04 10:03:00          Laser             Gripper     208.030000      50.850000       0.009600
15148      2018-12-05 13:55:00       Polisher                Axis     158.550000      53.090000       0.009200
15343      2018-12-07 18:52:00      Generator               Other      54.770000      60.880000       0.007700
15123      2018-12-07 18:52:00          Laser               Other      54.550000      60.730000       0.007700
16443      2018-12-07 18:52:00        Blocker               Other      56.970000      62.390000       0.007400
17133      2018-12-07 18:53:00    AR_Robotics               Other      59.430000      63.980000       0.007100
15148      2018-12-07 18:10:00       Polisher               Other      66.130000      66.540000       0.006600
16443      2018-12-06 18:44:00        Blocker       Dropping Lens     151.550000      69.940000       0.005900
15343      2018-12-06 18:52:00      Generator       Dropping Lens     154.230000      70.550000       0.005800
15148      2018-12-07 10:03:00       Polisher             Gripper     150.000000      79.840000       0.004000
15148      2018-12-07 14:12:00       Polisher                Leak     156.200000      83.300000       0.003300
17133      2018-12-07 22:52:00    AR_Robotics       Dropping Lens     148.980000      88.300000       0.002300
15123      2018-12-07 18:52:00          Laser       Dropping Lens     203.050000      89.450000       0.002100
15148      2018-12-08 07:33:00       Polisher              Sensor     150.600000      94.200000       0.001100
17133      2018-12-08 11:10:00    AR_Robotics        Cal./Diamond     106.450000      95.190000       0.000900
15123      2018-12-08 11:10:00          Laser        Cal./Diamond     130.020000      96.060000       0.000800
15148      2018-12-08 13:39:00       Polisher              Polish     137.780000      98.080000       0.000400
